Mouse ID,Embedding
Day 11_Y8-3-L.png,"[ 1.3370304 ,  3.2782264 , -3.2394884 ,  4.353492  ,  1.6111062 ,
  0.07067315, -1.7487398 , -1.6176744 , -2.8104467 , -0.44657272,
  1.8015349 ,  2.2912629 , -3.4637797 ,  0.18782759, -3.7390451 ,
 -0.8597668 ]"
Day 4_Y8-1-R.png,"[-2.0913105 , -0.8742398 ,  2.1264398 , -2.6481962 ,  0.32175985,
  0.16202655,  0.5740596 ,  1.4238323 , -0.06194016, -1.5211571 ,
  0.60905945, -1.0555857 ,  1.5906073 ,  0.1558683 ,  2.0774255 ,
  0.85953903]"
Day 6_Y8-2-R.png,"[-1.5800886 ,  1.7982537 ,  0.29188794,  0.26934808,  1.8805381 ,
  0.23962303, -0.21887392,  0.76407444, -2.0214005 , -1.9001042 ,
  1.8094981 ,  0.06542186, -0.71816975, -0.11513785, -0.9275635 ,
  1.012897  ]"
Day 12_A8-4-R.png,"[ 0.12560108,  3.4658096 , -2.4934719 ,  3.5415392 ,  2.0700529 ,
  0.1746324 , -1.4127011 , -0.8606123 , -3.0212514 , -1.2075502 ,
  2.2453825 ,  1.640347  , -3.0659437 ,  0.04559932, -3.4090474 ,
 -0.2821149 ]"
Day 15_Y8-2-R.png,"[ 0.61678505,  2.42166   , -2.2937381 ,  2.8155222 ,  1.6064851 ,
  0.30410522, -1.3780568 , -1.2531607 , -2.0748525 , -0.8166937 ,
  1.6793395 ,  1.5947063 , -2.863438  ,  0.16582215, -2.440843  ,
 -1.0048046 ]"
Day 1_A8-4-R.png,"[ 0.47505358, -0.6143502 ,  0.03984296,  0.34385747, -1.4289324 ,
 -0.38189486,  0.13377985, -0.09815393,  1.4178499 ,  1.4523594 ,
 -1.1027129 , -0.46472523,  0.6569517 , -0.08333582,  0.5878434 ,
 -0.59751755]"
Day 6_A8-3-R.png,"[-0.4057777 , -6.3438287 ,  3.8928049 , -7.970085  , -2.1270368 ,
  0.43423906,  2.2871664 ,  0.80208355,  3.5720327 ,  0.15655354,
 -2.6441753 , -2.177599  ,  4.2603807 ,  0.08203994,  6.078609  ,
  1.1971066 ]"
Day 15_A8-3-R.png,"[ 0.32167745,  2.7420554 , -2.0350883 ,  2.8411188 ,  1.684142  ,
  0.21640198, -1.2427638 , -0.88198507, -2.3922753 , -0.8879056 ,
  1.8344558 ,  1.4883162 , -2.5975819 ,  0.07641825, -2.6045322 ,
 -0.64865935]"
Day 9_Y8-3-R.png,"[-0.8378924 ,  2.9333646 , -0.99944055,  2.0590549 ,  2.4810855 ,
  0.17689179, -0.75894856,  0.0826051 , -3.0548666 , -1.8011739 ,
  2.215444  ,  0.972592  , -2.021013  , -0.15884438, -2.4427454 ,
  0.8266578 ]"
Day 13_A8-3-L.png,"[-0.39573336,  1.7119455 , -0.8477687 ,  1.3359891 ,  1.6170468 ,
  0.30773708, -0.5799669 , -0.22060585, -1.4285228 , -0.98335445,
  1.3179215 ,  0.6875388 , -1.4688907 , -0.06184559, -1.4166685 ,
 -0.22140297]"
