Mouse ID,Embedding
Day 5_Y8-3-L.png,"[-1.4274188 , -2.259599  ,  2.0923874 , -4.403091  ,  0.75808746,
  0.6199564 ,  1.0157012 ,  0.98398525,  0.5958245 , -1.442941  ,
  0.10913928, -0.71846634,  1.396495  ,  0.01603426,  2.612826  ,
  0.9530411 ]"
Day 5_A8-5-L.png,"[-2.1691232 , -2.642154  ,  2.7672832 , -6.245424  ,  2.14844   ,
  1.1334132 ,  1.3100455 ,  1.4932666 , -0.6916924 , -3.0903637 ,
  1.3038589 , -0.6316686 ,  1.4901781 ,  0.18975739,  3.0541763 ,
  1.8036132 ]"
Day 11_Y8-3-L.png,"[ 2.1779265 ,  3.0057566 , -3.9744682 ,  4.816295  ,  1.1023817 ,
 -0.05875785, -2.026063  , -2.3544521 , -2.4339483 ,  0.3237342 ,
  1.2966921 ,  2.7014856 , -3.666541  ,  0.33278874, -3.9045537 ,
 -1.4076566 ]"
Day 2_Y8-3-L.png,"[-0.5158217 , -1.3489212 ,  1.1592902 , -2.0240977 , -0.07522105,
  0.23004551,  0.63005567,  0.49045864,  0.8451669 , -0.2020547 ,
 -0.44294178, -0.69774   ,  0.9732888 , -0.12311956,  1.3665444 ,
  0.36158112]"
Day 4_Y8-1-R.png,"[-3.161107  , -2.5080714 ,  3.9883502 , -5.2422204 , -0.02767185,
  0.21332562,  1.4115151 ,  2.5090091 ,  0.72737026, -2.0543869 ,
  0.17556736, -2.0941043 ,  3.3571653 ,  0.22616136,  4.1624274 ,
  1.4899619 ]"
Day 6_Y8-2-R.png,"[-1.480926  ,  2.0692809 ,  0.08913185,  0.63455904,  1.994336  ,
  0.21796376, -0.35238895,  0.63157046, -2.2428286 , -1.8700507 ,
  1.8988858 ,  0.17567162, -0.96155393, -0.1393873 , -1.253638  ,
  1.0051489 ]"
Day 12_A8-4-R.png,"[-0.14796294,  3.3018672 , -2.0406737 ,  3.1224523 ,  2.1779165 ,
  0.1836368 , -1.2292744 , -0.5502979 , -3.012659  , -1.3967819 ,
  2.2211494 ,  1.4452786 , -2.741534  , -0.00667103, -3.0748076 ,
  0.01469679]"
Day 15_Y8-2-R.png,"[ 1.4828118 ,  2.9284375 , -3.3468146 ,  3.9637427 ,  1.5598557 ,
  0.26283473, -1.7570759 , -1.9295294 , -2.2665772 , -0.17275368,
  1.5629134 ,  2.3098073 , -3.6201277 ,  0.1843701 , -3.3339648 ,
 -1.7240696 ]"
Day 1_A8-4-R.png,"[ 0.47131288, -1.0859159 ,  0.33825937, -0.09066213, -1.8474942 ,
 -0.4418002 ,  0.32751203, -0.00902978,  1.9092456 ,  1.7252703 ,
 -1.4915445 , -0.74591595,  1.1399591 , -0.09321168,  1.0591704 ,
 -0.61082643]"
Day 6_A8-3-R.png,"[-0.7434832 , -4.1680636 ,  2.81169   , -6.2327347 , -0.20697545,
  0.6786299 ,  1.4963689 ,  0.73811686,  1.7742295 , -0.94783044,
 -1.1382909 , -1.2573316 ,  2.5727012 ,  0.03207073,  4.0828533 ,
  0.9559181 ]"
