Mouse ID,Embedding
Day 6_A8-3-R.png,"[-0.25520754 -3.1448915   2.0888205  -3.867144   -1.262484    0.16016527
  1.2495557   0.44496244  2.4361715   0.56690407 -1.5532284  -1.3018408
  2.4816618  -0.09689364  3.145173    0.22151159]"
Day 15_A8-3-R.png,"[ 0.22342826  2.6084154  -1.8730762   2.6280293   1.5846132   0.2021348
 -1.1871935  -0.7683176  -2.3196008  -0.9119543   1.7985445   1.3572483
 -2.4213142   0.09257957 -2.3955507  -0.5331132 ]"
Day 9_Y8-3-R.png,"[-0.79786193  2.5860264  -0.7704169   1.751688    2.1464722   0.13958623
 -0.6409246   0.17439295 -2.6995194  -1.5785122   1.9519038   0.7851717
 -1.6698021  -0.14213984 -2.0889354   0.7595486 ]"
Day 0_A8-3-L.png,"[ 0.47864932 -4.0949183   2.8852031  -3.3899028  -3.750491   -0.60961956
  1.8404851   0.48484567  4.9703417   2.9072268  -3.5825965  -2.4628117
  3.9316144  -0.36530086  3.9420853  -0.04333021]"
Day 13_A8-3-L.png,"[-0.69545543  1.5277342  -0.27276626  0.87477934  1.2187259   0.15058005
 -0.30847064  0.02724112 -1.0887026  -0.91729426  1.1577468   0.14096728
 -0.82972956 -0.16795403 -1.0217258   0.18176417]"
Day 9_Y8-1-R.png,"[-0.40433392  3.1876833  -1.613568    2.6962676   2.3448732   0.16599794
 -1.0285326  -0.3188971  -3.0088847  -1.5955665   2.1916502   1.2335391
 -2.5120451  -0.09659794 -2.8260427   0.38721508]"
Day 8_A8-5-L.png,"[-1.205983    2.6889231  -0.5452229   1.3622638   2.3249352   0.21233515
 -0.59093976  0.42435604 -2.85785    -1.9680374   2.1951468   0.58109283
 -1.5802339  -0.18143363 -1.990427    0.9557271 ]"
Day 3_A8-5-R.png,"[-1.0158368  -3.8020067   2.8570938  -5.649188   -0.33931494  0.57020605
  1.6850983   0.9228512   1.8884153  -0.6313618  -1.0430918  -1.2820821
  2.5108595  -0.06180545  3.7944605   1.0704387 ]"
Day 4_Y8-3-R.png,"[-0.97133     0.08319822  0.9380553  -0.47825897 -0.02602189 -0.08604383
  0.22946978  0.8423202   0.07866974 -0.3249525   0.26428607 -0.6763527
  0.7172572  -0.10694855  0.48546693  0.27290002]"
Day 10_A8-5-R.png,"[-0.15358901  2.7223384  -1.6440426   2.6262133   1.790827    0.1521433
 -1.047406   -0.41778058 -2.3276007  -1.1781408   1.789989    1.1967573
 -2.27007     0.05244194 -2.4137206  -0.0194421 ]"
Day 2_Y8-1-L.png,"[ 0.5229063  -1.9463301   1.1291707  -1.5771253  -1.2768854  -0.11809906
  0.95681125 -0.03943263  2.3713968   1.5107138  -1.8706474  -1.0393107
  1.4743582  -0.2901481   1.6529791  -0.2976652 ]"
Day 11_Y8-1-L.png,"[ 1.7215936e+00  2.9850924e+00 -3.5626855e+00  4.4621968e+00
  1.2221092e+00 -8.2244873e-03 -1.8050781e+00 -1.9726266e+00
 -2.3083768e+00 -3.4725508e-03  1.3701001e+00  2.4073999e+00
 -3.4824016e+00  3.0218938e-01 -3.5558832e+00 -1.2196165e+00]"
Day 14_A8-4-L.png,"[ 1.189468    3.4263349  -3.499637    4.2866216   1.6041417   0.09351829
 -1.7347674  -1.605917   -2.8956776  -0.575708    1.9321172   2.2034478
 -3.6684756   0.16600685 -3.738487   -0.7620661 ]"
Day 0_Y8-2-L.png,"[ 0.04059226 -3.0872426   2.3116057  -2.2527623  -3.093052   -0.5698306
  1.3618349   0.71995705  3.7987354   2.387003   -2.8802433  -2.1590211
  3.4141402  -0.35350558  3.0296469  -0.13781872]"
Day 7_A8-4-L.png,"[-1.3937414   1.4598964   0.30328035  0.11306854  1.5094258   0.1899356
 -0.21525258  0.8690397  -1.7283245  -1.7763131   1.7334452   0.04293787
 -0.50097126  0.03374619 -0.65536237  0.9622039 ]"
Day 13_Y8-2-L.png,"[ 1.8873627   2.341092   -3.447372    4.0630746   0.7075253  -0.06668958
 -1.6391844  -1.9330174  -1.5427964   0.6184352   0.83804923  2.118605
 -3.0363586   0.36668733 -3.009468   -1.4117208 ]"
Day 9_A8-4-R.png,"[-1.350366    2.2543247  -0.22759522  0.91986257  2.0947163   0.21653646
 -0.44217736  0.52228093 -2.466108   -1.8390788   2.003041    0.3550587
 -1.1870841  -0.15805802 -1.4649048   0.9050978 ]"
Day 5_A8-3-L.png,"[-1.6626924  -3.4207675   2.649671   -6.7391963   1.9885406   1.2080088
  1.2340814   1.1731384  -0.38460812 -2.8130987   0.8927011  -0.4499845
  1.4521489   0.33161998  3.2970002   1.3791137 ]"
Day 14_Y8-1-L.png,"[ 1.752471    2.9875689  -3.7024333   4.442899    0.9538382  -0.03671134
 -1.7860514  -1.9466373  -2.1903372   0.15336406  1.3153913   2.3394804
 -3.4925833   0.3163538  -3.5685027  -1.2945232 ]"
Day 7_Y8-1-L.png,"[-0.9100981   2.2334883  -0.6454558   1.3248838   1.9970671   0.24637476
 -0.60493225  0.16299844 -2.1608438  -1.6562705   1.8453401   0.5855043
 -1.6510097  -0.08379816 -1.663945    0.5616422 ]"
Day 2_A8-4-L.png,"[-0.515936   -1.5511346   1.524077   -2.3491764   0.10253231  0.2550545
  0.9631248   0.5460604   1.2433966   0.01613206 -0.6273883  -0.8975561
  1.2664413  -0.20112506  1.5530756   0.500431  ]"
