Mouse ID,Embedding
Day 8_A8-5-L.png,"[-2.3228464 , -1.7650236 ,  0.60395074,  4.161948  ,  3.0823755 ,
 -0.49484214, -1.9216999 , -2.5093553 ,  1.4889058 , -1.8590938 ,
 -2.4041336 ,  0.63560814, -0.16849169,  1.8081962 ,  1.1307992 ,
  0.9898107 ]"
Day 3_A8-5-R.png,"[ 7.7265244, -3.2690492, -2.3082397, -5.0539975, -2.9020417,  3.8684294,
 -3.3037124,  5.834449 ,  0.7103559, -5.284412 , -2.5609832,  1.5283023,
  4.9729633, -0.5027571, -4.1604214,  3.9758282]"
Day 4_Y8-3-R.png,"[16.110958  ,  3.6265187 , -0.58789486, -8.602001  , -5.005435  ,
  0.101538  ,  2.9228466 ,  3.6126854 , -1.4039804 ,  2.3208854 ,
  3.4815524 , -0.9913907 ,  2.0321608 , -3.4504511 , -1.6483209 ,
 -0.8752371 ]"
Day 10_A8-5-R.png,"[-9.078437  , -0.39478827,  0.04294516,  3.5414917 ,  2.4694824 ,
 -0.95121944, -0.58159024, -1.8752147 ,  0.06817642, -0.12688066,
 -0.5843434 ,  0.5920369 , -1.0120114 ,  0.8810331 ,  1.3637551 ,
 -0.02175036]"
Day 2_Y8-1-L.png,"[ 20.31194   ,   3.676382  ,  -0.69116   , -10.336402  ,  -6.3279996 ,
   0.78589314,   2.869119  ,   4.8461323 ,  -1.3406922 ,   2.0929682 ,
   3.3323784 ,  -1.4522278 ,   2.5631692 ,  -3.584407  ,  -2.4582078 ,
  -0.75664544]"
Day 11_Y8-1-L.png,"[-17.033115  ,   1.6017256 ,  -0.23121853,   4.792866  ,   4.22307   ,
  -3.6214225 ,   1.4664289 ,  -3.5645444 ,  -1.8867968 ,   2.8030608 ,
   2.0524843 ,   0.5324671 ,  -2.9613698 ,  -0.7191532 ,   3.6927612 ,
  -1.6840281 ]"
Day 0_Y8-2-L.png,"[ 30.257137  ,   6.9253364 ,  -0.66594636, -16.658611  , -10.658599  ,
   0.9506527 ,   5.889156  ,   7.2317157 ,  -3.0072687 ,   5.000617  ,
   6.460988  ,  -2.9290612 ,   3.0170712 ,  -5.9384217 ,  -3.6481357 ,
  -2.3972495 ]"
Day 13_Y8-2-L.png,"[-21.463392  ,   0.7232561 ,  -0.10165526,   6.1639633 ,   4.678734  ,
  -3.3336306 ,   0.6855468 ,  -3.7156527 ,  -1.7675906 ,   2.2843192 ,
   1.2129561 ,   0.7216979 ,  -3.4703674 ,   0.24830174,   3.4013987 ,
  -1.5137494 ]"
Day 9_A8-4-R.png,"[-6.192053  , -0.9562631 ,  0.5184506 ,  3.153516  ,  1.7847105 ,
 -0.22519635, -0.9414156 , -1.670554  ,  0.64309996, -0.7115424 ,
 -1.1059233 ,  0.15283881, -0.98025197,  1.431426  ,  0.73358566,
  0.10433888]"
Day 5_A8-3-L.png,"[ 7.382657  , -1.5755653 , -2.2253792 , -4.700866  , -2.085054  ,
  1.9173534 , -1.8123864 ,  4.5760717 ,  0.02691294, -3.260711  ,
 -0.67761487,  1.5432107 ,  4.0162406 , -1.2247404 , -2.385781  ,
  2.7157722 ]"
Day 14_Y8-1-L.png,"[-22.141827 ,   2.1295457,  -0.5138924,   5.5191994,   5.2591176,
  -4.716926 ,   1.9991179,  -4.263818 ,  -2.8796074,   3.8636236,
   3.0150309,   0.8112701,  -3.7754283,  -1.3928231,   4.678979 ,
  -2.289227 ]"
Day 2_A8-4-L.png,"[ 13.2258215 ,   3.7443016 ,  -1.9687777 , -10.471167  ,  -6.371943  ,
   0.89800537,   2.9907079 ,   6.067101  ,  -2.5424125 ,   2.1453023 ,
   3.9438868 ,  -0.90693367,   2.6418264 ,  -4.2102513 ,  -2.5674012 ,
  -0.6502499 ]"
Day 5_Y8-2-L.png,"[ 4.7803383 , -2.3032775 ,  0.12774234, -0.50109684, -0.8718455 ,
  2.1869528 , -2.0522156 ,  1.1514207 ,  1.846159  , -2.8663666 ,
 -2.5796392 ,  0.24319352,  1.8106345 ,  1.4365333 , -1.7227345 ,
  1.7721031 ]"
Day 1_Y8-3-R.png,"[ 22.453276 ,   4.330239 ,  -0.8315542, -11.397341 ,  -6.7679377,
   0.4338183,   3.5889292,   4.9735794,  -1.7544676,   2.7949169,
   4.1621747,  -1.3800106,   2.7605507,  -4.3880944,  -2.44565  ,
  -0.9213999]"
Day 15_A8-5-R.png,"[-17.603733  ,   0.9362803 ,  -0.08437903,   5.6259713 ,   4.7708135 ,
  -3.5277066 ,   0.8541566 ,  -4.0486856 ,  -1.5194508 ,   2.1211345 ,
   1.3796417 ,   0.72564   ,  -2.8493776 ,  -0.2576451 ,   3.7270856 ,
  -1.3668416 ]"
Day 12_Y8-3-R.png,"[-16.933672  ,   1.311748  ,  -0.07001797,   5.4107723 ,   4.6635475 ,
  -3.720055  ,   1.2893027 ,  -4.02591   ,  -1.7849762 ,   2.7285314 ,
   1.753141  ,   0.5147168 ,  -3.1381316 ,  -0.5300154 ,   3.8272023 ,
  -1.5780267 ]"
Day 6_A8-5-R.png,"[-0.33713192, -2.1999695 ,  0.6941684 ,  3.0003095 ,  1.3899213 ,
  1.0217506 , -2.0805876 , -1.1304712 ,  1.9383111 , -2.2144299 ,
 -2.9014819 ,  0.20237806,  0.24098289,  2.188427  , -0.159842  ,
  1.3221401 ]"
Day 12_Y8-1-R.png,"[-19.736671  ,   1.5439084 ,  -0.3738549 ,   5.81534   ,   5.376188  ,
  -4.3480263 ,   1.3899037 ,  -4.336865  ,  -2.2796824 ,   3.07879   ,
   2.1395855 ,   0.7725301 ,  -3.524695  ,  -0.84837276,   4.403764  ,
  -1.7700561 ]"
Day 8_A8-3-L.png,"[ 2.6336355 , -4.4796057 ,  1.2868793 ,  3.4823935 ,  0.82512194,
  3.036826  , -3.6111891 , -0.46144727,  3.2560573 , -4.3989134 ,
 -5.1369214 , -0.25262362,  0.6218738 ,  3.6824083 , -1.5845696 ,
  2.2282896 ]"
Day 10_Y8-2-R.png,"[-10.096506  ,   1.8711988 ,  -0.36946368,   1.6351362 ,   2.0362937 ,
  -2.4668846 ,   1.5770155 ,  -1.9209223 ,  -1.771707  ,   2.4665039 ,
   2.2070968 ,   0.16741611,  -1.781647  ,  -1.1695298 ,   2.3891754 ,
  -1.5672698 ]"
Day 4_A8-4-R.png,"[ 4.551944  , -0.2473964 , -1.3927615 , -3.621573  , -1.7887999 ,
  0.9168658 , -0.37754026,  2.7569914 , -0.08443828, -1.1707665 ,
  0.32359603,  0.88246036,  2.3393977 , -1.1394486 , -1.3441983 ,
  1.1717445 ]"
Day 0_Y8-1-L.png,"[ 18.16238   ,   0.94962865,  -2.3627694 , -10.350308  ,  -5.8904386 ,
   2.3173738 ,   0.582698  ,   7.0210576 ,  -1.0517507 ,  -1.2058756 ,
   1.7673992 ,   0.36250043,   4.75961   ,  -3.4963663 ,  -3.7331448 ,
   1.6757766 ]"
Day 3_Y8-3-R.png,"[12.719668  ,  0.680365  ,  0.01302625, -4.7911825 , -2.9225435 ,
  1.064946  ,  0.19306035,  2.183545  ,  0.39090723, -0.3883773 ,
  0.24590866, -0.45573825,  2.0216186 , -1.1358008 , -1.9342321 ,
  0.61066425]"
Day 8_Y8-3-L.png,"[-7.8216786 , -1.8603473 ,  0.88119256,  5.520001  ,  3.27336   ,
 -0.36878926, -1.7283945 , -2.931525  ,  1.2233471 , -1.3356977 ,
 -2.3256688 ,  0.32302883, -1.227188  ,  2.2923903 ,  1.23275   ,
  0.5813288 ]"
Day 12_A8-3-R.png,"[-4.0321136 , -3.311652  ,  2.1058283 ,  5.4153867 ,  2.5149097 ,
  0.7207255 , -2.5824378 , -3.283124  ,  2.5044713 , -2.504885  ,
 -3.6499171 , -0.10470782, -1.1892262 ,  3.269303  , -0.04042169,
  1.0804837 ]"
Day 2_Y8-3-L.png,"[14.597938  ,  4.3294377 , -0.3007698 , -7.9294996 , -5.064121  ,
 -0.23004754,  3.7168674 ,  3.3006835 , -1.732086  ,  3.3382745 ,
  3.9819796 , -1.486514  ,  1.0498911 , -3.4210925 , -1.3364618 ,
 -1.5694668 ]"
